learner_id,step,skill,item_id,difficulty,label,hidden_prob,bkt_pred,elo_pred
L000,0,word_problem,W002,8.0,1,0.4041,0.35,0.3212
L000,1,counting,CX002,2.0,0,0.5273,0.35,0.6351
L000,2,word_problem,WX002,4.0,0,0.6142,0.7429,0.5159
L000,3,subtraction,SX001,3.0,0,0.2599,0.35,0.5483
L000,4,counting,CX001,1.0,1,0.6095,0.1755,0.6274
L000,5,subtraction,S003,9.0,0,0.05,0.1755,0.2613
L000,6,subtraction,S002,6.0,1,0.1463,0.1428,0.3844
L000,7,number_sense,NX004,4.0,0,0.1183,0.35,0.5043
L000,8,number_sense,NX010,7.0,0,0.05,0.1755,0.3414
L000,9,number_sense,NX005,4.0,0,0.0963,0.1428,0.4751
L000,10,number_sense,NX009,6.0,0,0.0795,0.138,0.3616
L000,11,number_sense,NX008,6.0,0,0.0554,0.1373,0.3502
L000,12,number_sense,NX009,6.0,0,0.0682,0.1372,0.3392
L000,13,number_sense,N002,7.0,0,0.0934,0.1372,0.286
L000,14,number_sense,NX005,4.0,0,0.1622,0.1372,0.4133
L000,15,number_sense,NX004,4.0,0,0.163,0.1372,0.3996
L000,16,number_sense,NX009,6.0,0,0.1114,0.1372,0.2962
L000,17,number_sense,NX009,6.0,0,0.1057,0.1372,0.2877
L000,18,number_sense,NX007,5.0,1,0.2033,0.1372,0.322
L000,19,addition,AX004,4.0,0,0.2416,0.35,0.3895
L000,20,addition,AX009,6.0,0,0.2046,0.1755,0.2878
L000,21,addition,A001,3.0,1,0.2933,0.1428,0.4154
L000,22,word_problem,WX004,5.0,1,0.564,0.3535,0.3399
L000,23,number_sense,NX008,6.0,0,0.2401,0.4871,0.3156
L001,0,number_sense,NX010,7.0,0,0.2323,0.35,0.3666
L001,1,word_problem,WX005,5.0,0,0.2508,0.35,0.4515
L001,2,number_sense,NX001,2.0,1,0.4131,0.1755,0.586
L001,3,counting,C002,2.0,1,0.5305,0.35,0.5998
L001,4,subtraction,SX007,6.0,0,0.2654,0.35,0.4144
L001,5,subtraction,SX005,5.0,0,0.3476,0.1755,0.4497
L001,6,subtraction,S001,4.0,1,0.4047,0.1428,0.4844
L001,7,word_problem,WX007,6.0,0,0.214,0.1755,0.4027
L001,8,word_problem,WX004,5.0,0,0.2079,0.1428,0.4383
L001,9,word_problem,WX006,6.0,0,0.1742,0.138,0.3751
L001,10,word_problem,WX010,8.0,0,0.135,0.1373,0.2759
L001,11,word_problem,WX001,3.0,1,0.3395,0.1372,0.5011
L001,12,addition,AX008,6.0,0,0.5576,0.35,0.3702
L001,13,addition,AX007,5.0,1,0.5946,0.1755,0.4059
L001,14,word_problem,WX001,3.0,0,0.4021,0.4871,0.526
L001,15,word_problem,WX007,6.0,0,0.3374,0.2134,0.3605
L001,16,word_problem,WX006,6.0,0,0.2755,0.1489,0.3491
L001,17,word_problem,WX003,4.0,1,0.3731,0.1388,0.4334
